,,,Home,,Home,,Home,,Home,,Home,,Home,,,
,,,6,,1,,2,,3,,4,,5,,,
Period,Frame,Time [s],Player6,,Player1,,Player2,,Player3,,Player4,,Player5,,Ball,
1,1,0.00,80.92308664666467,35.9856561205011,84.57276067001344,51.37952021618228,82.01583270847891,65.56398694749629,86.8486289453322,82.91638386689131,75.07463332573101,41.829558282553,97.93301616018755,54.585117041206004,NaN,NaN
1,2,0.50,80.31998026516816,35.65660488566515,83.95211059748218,51.04328816753695,82.01583270847891,65.56398694749629,88.04773685160117,82.73223554688074,73.55332839411419,42.37965627773838,95.11460340608691,54.07901850040849,NaN,NaN
1,3,1.00,80.92170565929499,36.36085414209095,84.0393092483492,52.40470268292431,82.90169917947999,66.03993631642946,89.62266781249953,83.18903003238775,73.3221675357139,43.948919892159445,92.70794073044902,53.81121952665578,NaN,NaN
1,4,1.50,81.82362145537438,38.91512646528941,84.44498038297323,54.43535159211174,83.99647782109051,65.46675563063417,91.35260405837826,83.384657341401,73.82486248349412,44.526819682828,91.38552957625004,54.43133891877683,NaN,NaN
1,5,2.00,82.53018003080514,40.03344533214456,84.98460367394125,55.365967508603525,84.90141477032654,65.3815852299171,92.64263407221097,81.25404038412906,74.74637331455513,45.36074496571461,91.61099858140985,54.55352637791632,NaN,NaN
1,6,2.50,83.43400176768014,43.40825740991404,86.03408053932918,57.824592095801336,85.8640943897376,65.32426146959861,92.50996534561004,84.28397577861934,75.3272627766925,49.85690099232414,91.65967818334752,56.01746141500405,NaN,NaN
1,7,3.00,83.8451709067621,46.78175626051009,87.11628721618187,61.78268760271136,86.53242606962057,67.6806758121102,92.99136372545834,84.54080239559502,76.5264331335558,52.092784679467194,92.00815186732893,58.79089651621371,NaN,NaN
1,8,3.50,84.18404117226623,47.30983181006511,87.06050917758503,67.5968693315726,89.89130584154084,66.40997344259738,92.9150043484919,84.00885517034149,77.262931268432,53.74218366987054,92.00815186732893,58.79089651621371,NaN,NaN
